time,nt11
0.0,25.0
1.0,25.0
2.0,25.0
3.0,25.0
4.0,25.0
5.0,25.0
6.0,25.0
7.0,25.0
8.0,25.0
9.0,25.0
10.0,25.0
11.0,25.0
11.00100040435791,3156.267284574963
11.001999855041504,2589.780514671689
11.003000259399414,2061.668448311942
11.003999710083008,1753.7393493652344
11.005000114440918,1544.35156976609
11.005999565124512,1400.1789260137648
11.006999969482422,1287.9029599144346
11.008000373840332,1197.8667573474702
11.008999824523926,1123.8873436337426
11.010000228881836,1061.8599882579986
11.01099967956543,1008.9680735270182
11.01200008392334,963.2203390938895
11.012999534606934,923.1710750034878
11.013999938964844,887.74560546875
11.015000343322754,856.1282137916202
11.024999618530273,667.1000656854538
11.03499984741211,570.6909877232143
11.045000076293945,504.83968680245533
11.055000305175781,456.61733681815014
11.0649995803833,419.7728678385417
11.074999809265137,390.6610645112537
11.085000038146973,367.0203417823428
11.095000267028809,347.37974512009396
11.104999542236328,330.74661945161364
11.114999771118164,316.4305906749907
11.125,303.93890162876676
11.135000228881836,292.9115985688709
11.145000457763672,283.0800901140486
11.154999732971191,274.2399964105515
11.164999961853027,266.2329621087937
11.175000190734863,258.9342298961821
11.1850004196167,252.24399875459216
11.194999694824219,246.08132807413736
11.204999923706055,240.3797474815732
11.21500015258789,235.0840592157273
11.225000381469727,230.14795121692475
11.234999656677246,225.5322291056315
11.244999885559082,221.20344434465682
11.255000114440918,217.13284465244837
11.265000343322754,213.2955551147461
11.274999618530273,209.66992459978377
11.28499984741211,206.23701059250604
11.295000076293945,202.98014341081893
11.305000305175781,199.88461576189314
11.3149995803833,196.93736866542272
11.324999809265137,194.12677710396903
11.335000038146973,191.44245238531204
11.345000267028809,188.87507829212007
11.354999542236328,186.41627702258882
11.364999771118164,184.05848475864954
11.375,181.794863201323
11.385000228881836,179.61920819963728
11.395000457763672,177.5258734566825
11.404999732971191,175.50972021193732
11.414999961853027,173.56604221888952
11.425000190734863,171.69053431919642
11.4350004196167,169.87925138927642
11.444999694824219,168.12855239141555
11.454999923706055,166.4350961957659
11.46500015258789,164.7957921709333
11.475000381469727,163.20777784075057
11.484999656677246,161.6684079851423
11.494999885559082,160.175227028983
11.505000114440918,158.72594760713122
11.515000343322754,157.31844802129837
11.524999618530273,155.95074244907923
11.53499984741211,154.62097930908203
11.545000076293945,153.32743108840216
11.555000305175781,152.06847417922248
11.5649995803833,150.84258651733398
11.574999809265137,149.64834612891786
11.585000038146973,148.4844078790574
11.595000267028809,147.3495116460891
11.604999542236328,146.24247105916342
11.614999771118164,145.16215642293295
11.625,144.10751506260462
11.635000228881836,143.07754371279762
11.645000457763672,142.0712976001558
11.654999732971191,141.0878737313407
11.664999961853027,140.1264294215611
11.675000190734863,139.18615141369048
11.6850004196167,138.26627822149368
11.694999694824219,137.3660785130092
11.704999923706055,136.48486019316175
11.71500015258789,135.62196586245582
11.725000381469727,134.77676391601562
11.734999656677246,133.9486599876767
11.744999885559082,133.13707678658622
11.755000114440918,132.34147317068917
11.765000343322754,131.56133034115746
11.774999618530273,130.7961451212565
11.78499984741211,130.04544212704613
11.795000076293945,129.3087677728562
11.805000305175781,128.58568464006697
11.8149995803833,127.87577220371791
11.824999809265137,127.17863319033668
11.835000038146973,126.49387868245442
11.845000267028809,125.8211430140904
11.854999542236328,125.16006905691964
11.864999771118164,124.51031802949451
11.875,123.87156332106818
11.885000228881836,123.24348685854957
11.895000457763672,122.62578946068173
11.904999732971191,122.01817712329682
11.914999961853027,121.4203714643206
11.925000190734863,120.83210100446429
11.9350004196167,120.25310607183548
11.944999694824219,119.68313525971912
11.954999923706055,119.12194578988212
11.96500015258789,118.569306963966
11.975000381469727,118.0249897184826
11.984999656677246,117.48877988542829
11.994999885559082,116.96046511332194
12.005000114440918,116.43984394981747
12.015000343322754,115.92671975635346
12.024999618530273,115.42090288798015
12.03499984741211,114.92221214657738
12.045000076293945,114.43046451750256
12.055000305175781,113.94549496968587
12.0649995803833,113.46713429405575
12.074999809265137,112.99522354489281
12.085000038146973,112.52960468473889
12.095000267028809,112.07012730553036
12.104999542236328,111.6166473570324
12.114999771118164,111.16902315048944
12.125,110.72711535862514
12.135000228881836,110.29079319181896
12.145000457763672,109.85992531549363
12.154999732971191,109.43438829694476
12.164999961853027,109.01405979338146
12.175000190734863,108.59882309323265
12.1850004196167,108.18856293814522
12.194999694824219,107.78316861107236
12.204999923706055,107.38253057570685
12.21500015258789,106.98654592604865
12.225000381469727,106.5951113927932
12.234999656677246,106.2081298828125
12.244999885559082,105.825503213065
12.255000114440918,105.44713892255511
12.265000343322754,105.0729471842448
12.274999618530273,104.70283608209519
12.28499984741211,104.33672305515834
12.295000076293945,103.9745227268764
12.305000305175781,103.61615471612839
12.3149995803833,103.26153746105376
12.324999809265137,102.91059875488281
12.335000038146973,102.56325785319011
12.345000267028809,102.21944491068523
12.354999542236328,101.87908753894624
12.364999771118164,101.54211716424851
12.375,101.20846684773763
12.385000228881836,100.87806883312408
12.395000457763672,100.55086135864258
12.404999732971191,100.22677993774414
12.414999961853027,99.90576553344727
12.425000190734863,99.58775692894345
12.4350004196167,99.27269763038272
12.444999694824219,98.96053150721959
12.454999923706055,98.65120242890858
12.46500015258789,98.34465807960147
12.475000381469727,98.0408441452753
12.484999656677246,97.73971157982236
12.494999885559082,97.4412104288737
12.505000114440918,97.14529237293061
12.515000343322754,96.85190836588542
12.524999618530273,96.56101426624116
12.53499984741211,96.27256338936942
12.545000076293945,95.98651313781738
12.555000305175781,95.70281837100075
12.5649995803833,95.42143985203334
12.574999809265137,95.142335437593
12.585000038146973,94.8654656183152
12.595000267028809,94.59078924996513
12.604999542236328,94.31827163696289
12.614999771118164,94.04787363324847
12.625,93.77955827258882
12.635000228881836,93.5132913135347
12.645000457763672,93.24903733389718
12.654999732971191,92.98676327296666
12.664999961853027,92.7264361608596
12.675000190734863,92.46802211943127
12.6850004196167,92.21148999532063
12.694999694824219,91.95681063334148
12.704999923706055,91.70395079113189
12.71500015258789,91.45288403828938
12.725000381469727,91.20357958475749
12.734999656677246,90.95601045517694
12.744999885559082,90.7101484934489
12.755000114440918,90.46596763247535
12.765000343322754,90.22343998863583
12.774999618530273,89.9825396764846
12.78499984741211,89.7432431720552
12.795000076293945,89.50552504403251
12.805000305175781,89.26936167762393
12.8149995803833,89.03472836812337
12.824999809265137,88.80160404386974
12.835000038146973,88.56996363685245
12.845000267028809,88.33978680201939
12.854999542236328,88.11105155944824
12.864999771118164,87.88373611086891
12.875,87.65782156444732
12.885000228881836,87.4332855769566
12.895000457763672,87.21011107308524
12.904999732971191,86.9882755279541
12.914999961853027,86.76776295616513
12.925000190734863,86.5485517411005
12.9350004196167,86.33062807718913
12.944999694824219,86.11396962120419
12.954999923706055,85.89856129600888
12.96500015258789,85.68438638959613
12.975000381469727,85.4714276450021
12.984999656677246,85.25966835021973
12.994999885559082,85.04909342811222
13.0,84.9440996987479
14.0,68.66654359726678
15.0,58.178082193647114
16.0,50.222913197108674
17.0,44.17019031161354
18.0,39.58960174378895
19.0,36.1090300877889
20.0,33.461707342238654
21.0,31.447064990089054
22.0,29.9131665683928
23.0,28.75104874656314
23.000999450683594,1869.4840044294085
23.00200080871582,2155.234430222284
23.003000259399414,1840.155043829055
23.003999710083008,1618.9733174641926
23.0049991607666,1455.8922031947545
23.006000518798828,1335.5863545735676
23.006999969482422,1239.031706310454
23.007999420166016,1159.7742295038133
23.009000778198242,1093.4557335263207
23.010000228881836,1037.0503670828682
23.01099967956543,988.4019760858445
23.011999130249023,945.937267485119
23.01300048828125,908.4833512079148
23.013999938964844,875.1488146100726
23.014999389648438,845.2443251836868
23.024999618530273,670.0436597551618
23.03499984741211,568.2351023356119
23.045000076293945,504.36404782249815
23.05500030517578,457.2748874482654
23.065000534057617,421.10330163864865
23.075000762939453,392.4043208530971
23.084999084472656,369.0263493855794
23.094999313354492,349.5605988275437
23.104999542236328,333.04998742966427
23.114999771118164,318.82456970214844
23.125,306.4033639090402
23.135000228881836,295.43321700323196
23.145000457763672,285.6495332263765
23.155000686645508,276.85032726469495
23.165000915527344,268.8787285940988
23.174999237060547,261.6109401157924
23.184999465942383,254.94785090855189
23.19499969482422,248.80902026948473
23.204999923706055,243.1283818199521
23.21500015258789,237.85106477283296
23.225000381469727,232.93104625883558
23.235000610351562,228.3293807620094
23.2450008392334,224.0128313700358
23.2549991607666,219.9528443472726
23.264999389648438,216.12471407935732
23.274999618530273,212.50694383893693
23.28499984741211,209.08071735927038
23.295000076293945,205.82949483962287
23.30500030517578,202.73866253807432
23.315000534057617,199.79525720505487
23.325000762939453,196.98773611159552
23.334999084472656,194.30577850341797
23.344999313354492,191.7401341029576
23.354999542236328,189.28247542608352
23.364999771118164,186.92529496692475
23.375,184.66179311843146
23.385000228881836,182.48580278669084
23.395000457763672,180.39171745663597
23.405000686645508,178.3744228907994
23.415000915527344,176.42924190702894
23.424999237060547,174.55189859299432
23.434999465942383,172.7384612673805
23.44499969482422,170.98531777518136
23.454999923706055,169.2891398838588
23.46500015258789,167.64685258411225
23.475000381469727,166.05561319986978
23.485000610351562,164.51279067993164
23.4950008392334,163.01593671526228
23.5049991607666,161.5627817426409
23.514999389648438,160.15121241978235
23.524999618530273,158.77925327845983
23.53499984741211,157.44506418137323
23.545000076293945,156.14692597162156
23.55500030517578,154.88322158086868
23.565000534057617,153.65244384039016
23.575000762939453,152.45317132132394
23.584999084472656,151.2840708778018
23.594999313354492,150.14388602120536
23.604999542236328,149.03143728347052
23.614999771118164,147.94560514177596
23.625,146.8853401910691
23.635000228881836,145.8496455237979
23.645000457763672,144.83757945469446
23.655000686645508,143.8482511611212
23.665000915527344,142.88081305367606
23.674999237060547,141.93446459089006
23.684999465942383,141.00844537644159
23.69499969482422,140.10202989124116
23.704999923706055,139.21452967325845
23.71500015258789,138.3452893211728
23.725000381469727,137.49368631272088
23.735000610351562,136.65912446521577
23.7450008392334,135.84103520711264
23.7549991607666,135.038877759661
23.764999389648438,134.25213296072823
23.774999618530273,133.4803083510626
23.78499984741211,132.72292782011488
23.795000076293945,131.97954068865096
23.80500030517578,131.24970917474656
23.815000534057617,130.5330223810105
23.825000762939453,129.8290786743164
23.834999084472656,129.13749712989443
23.844999313354492,128.4579115368071
23.854999542236328,127.78996631077358
23.864999771118164,127.13332566760835
23.875,126.48766390482585
23.885000228881836,125.85266803559803
23.895000457763672,125.22803778875442
23.905000686645508,124.61348270234608
23.915000915527344,124.00872421264648
23.924999237060547,123.41349383762905
23.934999465942383,122.82753263201032
23.94499969482422,122.2505917322068
23.954999923706055,121.6824296315511
23.96500015258789,121.12281517755417
23.975000381469727,120.57152375720796
23.985000610351562,120.02833847772507
23.9950008392334,119.49305216471355
24.0049991607666,118.9654620034354
24.014999389648438,118.44537244524274
24.024999618530273,117.93259593418666
24.03499984741211,117.42695045471191
24.045000076293945,116.92825907752628
24.05500030517578,116.43635023207892
24.065000534057617,115.95106106712704
24.075000762939453,115.47222945803688
24.084999084472656,114.99970227196103
24.094999313354492,114.53332855587914
24.104999542236328,114.0729626246861
24.114999771118164,113.61846533275786
24.125,113.16969817025321
24.135000228881836,112.72652907598587
24.145000457763672,112.28883134751092
24.155000686645508,111.85647791907901
24.165000915527344,111.42934926350911
24.174999237060547,111.00732803344727
24.184999465942383,110.59029860723587
24.19499969482422,110.17815262930733
24.204999923706055,109.770780926659
24.21500015258789,109.36808122907367
24.225000381469727,108.96994917733329
24.235000610351562,108.5762874966576
